epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
53,90.896,1.05197,1.03778,2.0088,1.06677,0,0.81497,0.55556,0.68406,0.35314,0.81497,0.55556,0.68406,0.42883,1.42667,1.58701,1.97632,1.30491,0,0.000951857,0.000951857,0.000951857
54,92.599,0.95968,0.96838,1.94266,1.02334,0,0.84509,0.66667,0.74614,0.38992,0.84509,0.66667,0.74614,0.48495,1.36602,1.65383,1.89821,1.25508,0,0.000938104,0.000938104,0.000938104
55,94.2495,0.9996,0.86977,2.11453,1.04336,0,0.84509,0.66667,0.74614,0.38992,0.84509,0.66667,0.74614,0.48495,1.36602,1.65383,1.89821,1.25508,0,0.000924352,0.000924352,0.000924352
56,95.8902,0.75634,0.90488,1.93607,0.98737,0,0.83466,0.66667,0.73889,0.4512,0.83466,0.66667,0.76863,0.52517,1.28187,1.70196,1.97989,1.25881,0,0.000910599,0.000910599,0.000910599
57,97.5004,0.87808,0.86546,1.82714,0.96861,0,0.83466,0.66667,0.73889,0.4512,0.83466,0.66667,0.76863,0.52517,1.28187,1.70196,1.97989,1.25881,0,0.000896846,0.000896846,0.000896846
58,99.1488,0.8565,0.79813,1.7118,0.97377,0,0.83539,0.66667,0.77384,0.45135,0.83539,0.66667,0.77384,0.55203,1.26208,1.6576,1.9148,1.26546,0,0.000883093,0.000883093,0.000883093
59,100.734,0.92265,0.90057,1.69443,1.00282,0,0.83539,0.66667,0.77384,0.45135,0.83539,0.66667,0.77384,0.55203,1.26208,1.6576,1.9148,1.26546,0,0.00086934,0.00086934,0.00086934
60,102.395,0.92879,0.82205,1.77684,1.00386,0,0.83298,0.66667,0.78599,0.43934,0.83298,0.66667,0.78599,0.53212,1.25845,1.67671,1.87286,1.29823,0,0.000855588,0.000855588,0.000855588
61,104.032,1.00262,1.19927,2.052,1.06943,0,0.83298,0.66667,0.78599,0.43934,0.83298,0.66667,0.78599,0.53212,1.25845,1.67671,1.87286,1.29823,0,0.000841835,0.000841835,0.000841835
62,105.666,0.97477,0.80045,1.7767,1.02625,0,0.83843,0.66667,0.79863,0.51055,0.83843,0.66667,0.78985,0.54237,1.23568,1.84376,1.79902,1.30677,0,0.000828082,0.000828082,0.000828082
63,107.306,0.8704,0.94464,1.65146,0.98001,0,0.83843,0.66667,0.79863,0.51055,0.83843,0.66667,0.78985,0.54237,1.23568,1.84376,1.79902,1.30677,0,0.000814329,0.000814329,0.000814329
64,109.045,0.89907,0.86383,1.77165,0.99919,0,0.7735,0.76066,0.79878,0.47089,0.7735,0.76066,0.79006,0.55424,1.28424,1.9719,1.76434,1.30937,0,0.000800577,0.000800577,0.000800577
65,110.612,0.93045,0.85406,1.69875,0.98833,0,0.7735,0.76066,0.79878,0.47089,0.7735,0.76066,0.79006,0.55424,1.28424,1.9719,1.76434,1.30937,0,0.000786824,0.000786824,0.000786824
